student_id,Gender,Course,Section,Assignment_Score 1 (out of 40),Assignment_Score 2(out of 40),Test_Result 1 (out of 10),Test_result 2 (out of 10),Quiz_score (out of 7),Late_submission_count (0-5),Lms_login_frequency level,attendance_rate,midterm_score,weekly_self_study_hours,Study_Habit_level,class_participation,active_days_month,extracurricular_activities,final_score
CNSTU1027,Male,History,B,31,27,7,10,7,0,High,99.9115708235155,79.50837622014807,17.6,Medium,25,20,No,79.20031326718261
CNSTU1028,Male,Computer Science,C,40,33,9,1,6,3,High,91.677275322197,67.79233572097434,10.8,Low,16,19,No,84.13517972730416
CNSTU1029,Male,Physics,B,25,36,7,4,4,0,Low,86.06691051494361,71.49967500248067,13,Medium,16,10,Yes,67.77207434801595
CNSTU1030,Female,Physics,C,25,33,7,6,6,1,Medium,96.45698077309848,67.77952065324723,10.8,Low,16,13,Yes,75.42623462576655
CNSTU1031,Male,Biology,A,31,35,7,2,7,3,Medium,82.21163040236425,97.22733821410725,28,High,14,11,No,61.314159261224106
CNSTU1032,Female,Biology,B,34,35,8,8,3,0,Low,93.81086215484976,74.8380333031448,14.9,Medium,16,18,Yes,81.9922312260528
CNSTU1033,Female,English,C,33,29,7,9,7,5+,Medium,94.04376127333302,62.3074688525292,7.6,Low,13,15,No,84.4719593970274
CNSTU1034,Male,History,A,40,36,9,8,5,0,High,98.48167925999104,84.87053894523827,20.8,High,21,25,Yes,73.16813537700627
CNSTU1035,Female,Computer Science,C,33,33,8,4,5,1,Low,100.0,60.34987620034774,6.5,Low,17,20,No,93.73986763290033
CNSTU1036,Male ,Chemistry,B,32,26,7,5,7,3,Low,93.13932773743014,77.50636314005706,16.5,Medium,11,29,No,65.7423433699766
CNSTU1037,Male,Chemistry,C,29,36,6,3,6,2,Medium,85.92829099434002,51.483958513442694,1.3,Low,15,10,No,63.3562511979018
CNSTU1038,Male,Computer Science,C,31,31,7,6,4,0,Medium,89.79540550246405,59.06176741321883,5.7,Low,16,26,Yes,80.24451818559972
CNSTU1039,Female,History,B,39,40,10,8,6,1,Low,75.84739276088706,77.36233483042949,16.4,Medium,13,20,Yes,88.47098302612154
CNSTU1040,Female,Chemistry,A,34,39,8,9,7,1,High,84.44229495128754,83.86159895994493,20.2,High,11,24,Yes,94.83927691457869
CNSTU1041,Male,English,B,31,24,8,9,3,3,Medium,86.72574049509517,77.05641937427964,16.2,Medium,11,20,Yes,73.4111573713106
CNSTU1042,Male,History,B,36,39,7,3,7,4,High,85.80729281652326,73.61222061134112,14.2,Medium,14,16,No,88.78680833431295
CNSTU1043,Male,Computer Science,B,31,31,9,4,5,5+,High,91.21883897626978,71.38675565292853,12.9,Medium,14,21,No,77.61491530499293
CNSTU1044,Female,Computer Science,C,33,30,7,10,5,0,Low,83.4206405409424,57.25773611559087,4.7,Low,20,9,No,76.2737270005918
CNSTU1045,Male,Computer Science,C,38,33,7,1,7,3,Medium,98.96824533859578,66.36186949926349,10,Low,15,29,Yes,86.83659937486672
CNSTU1046,Female,Physics,C,40,36,7,4,6,0,Medium,90.00165651934557,69.47233474848255,11.8,Low,14,17,Yes,84.52322878413419
CNSTU1047,Female,History,A,35,40,9,6,4,1,Low,89.92559743089109,87.68546671462698,22.4,High,17,12,Yes,62.236078430157505
CNSTU1048,Male,Biology,B,34,28,8,2,6,3,Medium,87.37684226789666,79.12341947482153,17.4,Medium,23,28,No,92.76540349725896
CNSTU1049,Female,Physics,C,29,30,7,8,7,0,High,91.24152547087184,53.843518135647194,2.7,Low,13,9,Yes,91.80091354147451
CNSTU1050,Male ,Physics,B,33,31,8,9,3,5+,Low,96.60078611734107,78.88900763273755,17.3,Medium,11,16,Yes,71.7443729849047
CNSTU1051,Male,Mathematics,B,31,32,6,8,7,0,Low,83.06295827431279,70.3790126350042,12.3,Medium,18,13,No,81.95803533437409
CNSTU1052,Male,Computer Science,C,28,32,8,4,5,1,Medium,84.73506808739795,66.8769359963285,10.3,Low,14,7,No,82.94030186282738
CNSTU1053,Female,History,B,34,30,9,5,5,3,Medium,87.57019176978669,82.34011546609041,19.3,Medium,17,7,Yes,80.60673765823907
CNSTU1054,Female,Computer Science,A,36,37,9,3,7,2,Low,79.23303261221429,87.37199426995141,22.2,High,19,5,No,72.4969484615458
CNSTU1055,Male,Biology,A,33,35,7,6,6,0,High,83.44593712222802,86.17536142939439,21.5,High,20,29,Yes,71.28376632061949
CNSTU1056,Male,History,C,33,31,8,8,4,1,Medium,86.19023301164273,64.92938972132833,9.1,Low,23,26,No,77.74445929008554
CNSTU1057,Male,English,B,39,31,8,9,6,1,High,96.99511344570182,71.28945148978542,12.8,Medium,13,22,No,89.72729019259364
CNSTU1058,Female,Economics,B,29,38,8,9,7,3,High,92.1004906320154,78.97516117684276,17.3,Medium,14,28,No,83.43600154594432
CNSTU1059,Male,Chemistry,A,33,37,8,3,3,4,Low,91.54871929094035,86.70654152546831,21.8,High,14,16,Yes,74.29385667913894
CNSTU1060,Female,Economics,C,38,23,8,4,7,5+,Medium,96.80718369734377,69.24990914585652,11.6,Low,12,13,Yes,85.71698710648344
CNSTU1061,Female,Chemistry,B,25,30,7,10,5,0,Medium,88.90102569280482,72.7720922800342,13.7,Medium,13,13,Yes,49.51457379369924
CNSTU1062,Male,English,C,29,33,7,1,5,3,Low,93.12371879943112,61.72398031192766,7.3,Low,11,22,No,89.48765700372104
CNSTU1063,Female,Economics,C,26,27,7,4,7,0,Medium,89.17422597654003,60.64552051103195,6.6,Low,14,22,No,60.60286221221901
CNSTU1064,Male ,History,A,36,38,8,6,6,1,High,92.12289879519703,84.75030986873037,20.7,High,16,11,No,74.37559058596868
CNSTU1065,Male,Chemistry,A,36,27,8,2,4,3,Low,85.33793073910735,91.27488034284988,24.5,High,10,8,No,66.80330105373856
CNSTU1066,Male,Mathematics,B,37,34,8,8,6,0,Low,70.48946273378857,74.13587854103599,14.5,Medium,17,17,Yes,65.05318524279095
CNSTU1067,Female,Mathematics,A,39,40,10,9,7,5+,Medium,88.92576670250956,87.04239477470429,22,High,17,21,Yes,89.6082678737852
CNSTU1068,Female,English,B,25,31,6,8,3,0,Medium,100.0,79.33963230057161,17.5,Medium,15,28,Yes,73.32298798688109
CNSTU1069,Male,Physics,C,38,31,7,4,7,1,Low,97.40972321793274,67.25856294473851,10.5,Low,17,6,No,81.46503881730716
CNSTU1070,Male,History,B,21,31,6,5,5,3,High,97.72317987672936,79.33674726610097,17.5,Medium,15,18,No,77.53079421120816
CNSTU1071,Male,Mathematics,A,36,30,8,3,5,2,Medium,99.88904577444974,93.45643879759163,25.8,High,18,7,Yes,82.77040827223121
CNSTU1072,Female,Physics,B,31,26,7,6,7,0,High,90.7092607276915,74.57008753068058,14.7,Medium,14,9,No,78.76821891060256
CNSTU1073,Male,Chemistry,A,35,35,8,8,6,1,High,91.57852565924476,93.77572386976807,26,High,14,18,Yes,65.1700777581143
CNSTU1074,Female,Biology,C,31,34,8,9,4,1,Low,85.0587848365252,43.56305875092307,0,Low,17,7,No,87.9626681944714
CNSTU1075,Female,Mathematics,A,30,28,6,9,6,3,Medium,87.4714171517836,84.86283005250269,20.8,High,20,27,No,73.06243416838687
CNSTU1076,Male,Mathematics,B,33,32,6,3,7,4,Medium,94.92616919816913,76.04456481885805,15.6,Medium,8,11,Yes,62.434181013402494
CNSTU1077,Female,Physics,B,28,32,6,4,3,5+,Low,99.63107549735054,71.41191179440959,12.9,Medium,14,22,Yes,73.71884839034088
CNSTU1078,Male ,Economics,B,33,29,7,10,7,0,Medium,88.884429794552,76.10112931842603,15.6,Medium,16,17,No,93.00759790634311
CNSTU1079,Male,History,C,37,40,9,1,5,3,High,86.3984858811887,51.149173024789285,1.1,Low,12,27,Yes,86.50221742113493
CNSTU1080,Male,Physics,B,35,31,7,4,5,0,Low,90.00422367085278,72.36393734594985,13.5,Medium,20,26,Yes,74.5134786559214
CNSTU1081,Female,History,B,29,34,7,6,7,1,Low,94.80965399143292,79.28535085814096,17.5,Medium,11,14,No,74.50742295681572
CNSTU1082,Female,Chemistry,A,35,35,7,2,6,3,Medium,78.44916147093167,92.73472853689819,25.3,High,12,29,No,74.78364948782617
CNSTU1083,Male,Chemistry,C,31,30,6,8,4,0,Medium,71.6305523749021,68.78075738071624,11.4,Low,15,17,No,98.76747983560841
CNSTU1084,Male,Computer Science,C,34,30,7,9,6,5+,Low,85.59570520406733,65.29807676528175,9.3,Low,11,20,Yes,81.81935452231554
CNSTU1085,Male,Biology,C,28,33,6,8,7,0,High,80.23430059268674,68.97891547698556,11.5,Low,23,13,No,82.3004164719107
CNSTU1086,Female,Biology,A,32,32,7,4,3,1,Medium,85.93487841882151,85.9848254124249,21.4,High,11,6,No,88.30283454031843
CNSTU1087,Male,Chemistry,B,40,36,9,5,7,3,High,88.81775744946023,78.94501331591621,17.3,Medium,14,27,No,80.38789159026514
CNSTU1088,Female,Computer Science,C,33,34,8,3,5,2,High,86.3740127278159,68.64287755479553,11.3,Low,9,9,No,75.40957854179297
CNSTU1089,Female,English,B,33,35,8,6,5,0,Low,100.0,81.15920919736027,18.6,Medium,12,26,No,76.03650150915021
CNSTU1090,Male,Physics,B,40,36,8,8,7,1,Medium,92.61395811681857,76.16493059217649,15.7,Medium,5,21,Yes,77.28398740585936
CNSTU1091,Female,Chemistry,A,37,40,9,9,6,1,Medium,92.40379487688662,86.62373988639467,21.8,High,18,27,No,77.62777763490159
CNSTU1092,Male ,History,C,33,34,8,9,4,3,Low,94.97765715234722,66.57536287347178,10.1,Low,15,26,No,85.2762954363698
CNSTU1093,Male,Mathematics,B,32,31,6,3,6,4,Medium,80.88933505775384,71.06805424082678,12.7,Medium,14,8,Yes,78.519458858073
CNSTU1094,Male,Chemistry,B,33,24,7,4,7,5+,High,98.31289429936214,70.29470216241411,12.3,Medium,19,21,No,85.3264007721558
CNSTU1095,Female,Mathematics,C,26,32,7,10,3,0,Low,89.39388570771632,57.43782062241458,4.8,Low,14,13,No,77.19283419891417
CNSTU1096,Female,English,B,33,33,9,1,7,3,Low,95.3638449379297,78.55344332477492,17.1,Medium,15,24,Yes,78.7863519031609
CNSTU1097,Male,Computer Science,B,27,36,7,4,5,0,Medium,81.42514213567875,78.13266326615867,16.8,Medium,13,6,No,58.01799315467892
CNSTU1098,Male,English,B,36,33,7,6,5,1,Medium,77.56992987187148,75.06136147970953,15,Medium,15,28,Yes,87.16327674702481
CNSTU1099,Male,History,B,27,29,6,2,7,3,Low,96.54311726420023,72.18495439949824,13.4,Medium,10,22,No,81.46488475897992
CNSTU1100,Female,Biology,C,34,37,8,8,6,0,High,93.01127620878013,58.015551095395026,5.1,Low,12,25,Yes,87.98010109859652
CNSTU1101,Male,Economics,B,30,40,9,9,4,5+,Medium,82.78358756513991,69.9522561268157,12.1,Medium,7,26,Yes,49.03744621806311
CNSTU1102,Female,English,B,30,29,8,8,6,0,High,83.04269534980244,70.88742580167877,12.6,Medium,8,15,No,98.88374704780728
CNSTU1103,Female,Physics,C,36,28,7,4,7,1,High,99.00347827531816,65.37267276934057,9.4,Low,14,17,Yes,76.60410371844826
CNSTU1104,Male,Economics,B,26,34,6,5,3,3,Low,80.48470485706137,73.0645714600079,13.9,Medium,12,12,Yes,89.08182816737516
CNSTU1105,Female,Mathematics,B,31,34,8,3,7,2,Medium,100.0,79.84861028177446,17.8,Medium,9,5,No,67.60094072874469
CNSTU1106,Male ,Computer Science,A,34,40,9,6,5,0,Medium,82.79503412281704,97.63423081452636,28.2,High,13,21,No,84.12773905062569
CNSTU1107,Male,Economics,B,32,34,6,8,5,1,Low,95.10713540486707,77.09493375398206,16.2,Medium,21,16,Yes,67.46584436826343
CNSTU1108,Male,History,B,30,32,7,9,7,1,Medium,87.37105219400813,78.09060468867317,16.8,Medium,9,8,No,71.76231039304194
CNSTU1109,Female,English,B,36,34,7,9,6,3,High,94.82549944865875,74.106649010806,14.5,Medium,25,25,Yes,97.14031353866787
CNSTU1110,Female,Mathematics,C,36,34,8,3,4,4,Low,85.64708798308646,51.9747454164115,1.6,Low,14,17,Yes,76.09317599236654
CNSTU1111,Male,History,B,29,35,8,4,6,5+,Low,88.69765675142165,74.68183349460939,14.8,Medium,12,13,No,80.17432873179723
CNSTU1112,Male,Mathematics,B,33,40,9,10,7,0,Medium,90.32735340316577,75.72276251929232,15.4,Medium,15,11,No,86.70067730688754
CNSTU1113,Male,Biology,A,32,29,7,1,3,3,Medium,81.98250035374822,100.0,32.2,High,20,27,Yes,82.95681887972604
CNSTU1114,Female,Biology,B,35,31,7,4,7,0,Low,95.92659476336101,72.69166842262653,13.7,Medium,16,28,No,79.50418905143576
CNSTU1115,Male,Physics,B,32,31,8,6,5,1,High,85.89429146822732,78.61856810800334,17.1,Medium,15,9,No,81.64961002466225
CNSTU1116,Female,Economics,B,27,30,7,2,5,3,Medium,88.17120067727986,74.58345876353708,14.8,Medium,16,9,Yes,100.0
CNSTU1117,Female,Computer Science,C,33,31,7,8,7,0,High,82.0452050031319,60.97586354856561,6.8,Low,18,21,Yes,77.42381202966415
CNSTU1118,Male,Chemistry,A,18,32,5,9,6,5+,High,69.50133072963752,88.71387377418024,23,High,14,13,Yes,80.01099046714967
CNSTU1119,Female,Biology,A,24,28,7,8,4,0,Low,88.47177789919864,84.02319639224129,20.3,High,14,10,Yes,88.50654396007612
CNSTU1120,Male ,English,A,32,33,9,4,6,1,Medium,100.0,84.49238336451657,20.5,High,15,29,Yes,89.05525932957984
CNSTU1121,Male,Mathematics,C,27,33,7,5,7,3,Medium,96.27683430318419,64.08735054246313,8.6,Low,16,23,Yes,89.8703030556038
CNSTU1122,Male,Biology,A,36,33,8,3,3,2,Low,89.84591696212485,91.8335317312332,24.8,High,19,20,No,84.38730222029184
CNSTU1123,Female,Biology,C,24,38,8,6,7,0,Medium,87.89687336633386,58.17778724649263,5.2,Low,11,25,Yes,66.56995087269516
CNSTU1124,Female,Biology,B,29,30,8,8,5,1,High,90.17972714249638,82.04228512560324,19.1,Medium,12,6,No,94.33431532301096
CNSTU1125,Male,English,A,33,39,8,9,5,1,Low,94.37695292140168,100.0,30.3,High,17,14,No,66.53654606981311
CNSTU1126,Male,History,C,33,31,7,9,7,3,Low,80.55349747752925,63.11356409843174,8.1,Low,16,20,Yes,81.02635465239034
CNSTU1127,Male,Physics,C,36,36,8,3,6,4,Medium,98.91457355735098,68.20442724476673,11,Low,10,9,No,70.45724149980641
CNSTU1128,Female,Economics,B,37,35,7,4,4,5+,Medium,95.72305052352995,76.1958163810517,15.7,Medium,20,19,Yes,77.35861653407008
CNSTU1129,Male,History,C,31,29,7,10,6,0,Low,95.74548580566348,68.95829215060562,11.5,Low,18,17,No,81.2876241030348
CNSTU1130,Female,Economics,C,33,29,7,1,7,3,High,93.50780591047781,56.392038827206406,4.1,Low,9,17,Yes,81.21357215450273
CNSTU1131,Female,Mathematics,B,40,27,8,4,3,0,Medium,90.15693326155191,75.82275569767233,15.5,Medium,14,17,Yes,82.21920754235285
CNSTU1132,Male,Mathematics,C,35,28,8,6,7,1,High,95.38288988773456,62.252355435286745,7.6,Low,24,19,Yes,94.13711269058646
CNSTU1133,Female,Computer Science,B,40,31,9,2,5,3,High,94.73451306993103,80.68310916762218,18.3,Medium,13,18,Yes,82.5353430151398
CNSTU1134,Male ,Computer Science,C,37,35,9,8,5,0,Low,87.1676743124718,63.96690918919436,8.6,Low,13,12,No,75.55843364709351
CNSTU1135,Male,Chemistry,A,32,31,7,9,7,5+,Medium,85.4111858168248,93.59921286021047,25.8,High,17,15,No,87.64087168288357
CNSTU1136,Male,Economics,C,34,20,6,8,6,0,Medium,90.8148503620959,65.60096049196515,9.5,Low,18,22,No,89.89470488924641
CNSTU1137,Female,Physics,B,31,38,7,4,4,1,Low,100.0,71.1352618055319,12.7,Medium,13,28,No,65.72392184863007
CNSTU1138,Female,Biology,A,30,39,7,5,6,3,Medium,80.08714339476879,84.76220660843603,20.7,High,15,8,No,83.97400069849859
CNSTU1139,Male,Economics,C,35,40,9,3,7,2,High,78.25979787398047,60.22962820279254,6.4,Low,11,14,Yes,85.01172742310898
CNSTU1140,Male,English,B,23,33,6,6,3,0,Low,91.31808672989213,77.72951921524955,16.6,Medium,14,5,Yes,75.02436496640009
CNSTU1141,Male,Physics,A,37,34,9,8,7,1,Low,90.40710161484814,90.68571305138914,24.1,High,17,9,Yes,91.75706813311619
CNSTU1142,Female,Biology,C,31,29,8,9,5,1,Medium,91.38673331496327,55.71020118526527,3.7,Low,16,17,Yes,76.49944412967473
CNSTU1143,Male,Chemistry,B,38,31,9,9,5,3,Medium,91.951625583268,77.21560630238766,16.3,Medium,17,5,Yes,79.25576453471542
CNSTU1144,Female,Physics,B,25,40,8,3,7,4,Low,88.21438196292156,78.11859353098109,16.8,Medium,16,27,No,76.26928175716131
CNSTU1145,Female,History,A,37,33,8,4,6,5+,High,100.0,84.38187446132773,20.5,High,14,12,Yes,78.15579047581467
CNSTU1146,Male,Computer Science,C,31,34,7,10,4,0,Medium,77.19276817218787,60.15659146946302,6.3,Low,8,7,Yes,67.03724913104799
CNSTU1147,Female,Chemistry,C,29,34,8,1,6,3,High,83.37202380175803,59.154520642988686,5.8,Low,13,7,No,63.59949117405706
CNSTU1148,Male ,History,B,36,30,9,4,7,0,High,89.17396191880762,81.26329878740277,18.7,Medium,15,11,No,93.94505063224972
CNSTU1149,Male,Mathematics,B,21,37,6,6,3,1,Low,76.85448951076665,78.56381607879823,17.1,Medium,12,8,Yes,69.53038651681672
CNSTU1150,Male,English,B,30,31,7,2,7,3,Medium,88.59316476454343,78.00591420415051,16.8,Medium,11,7,Yes,68.08607650543692
CNSTU1151,Female,Biology,B,36,38,10,8,5,0,Medium,100.0,79.1573785139637,17.4,Medium,17,19,No,56.466098863962856
CNSTU1152,Female,Mathematics,C,35,32,8,9,5,5+,Low,90.16709190636769,66.83970334105811,10.2,Low,13,12,Yes,71.61038252310497
CNSTU1153,Male,Chemistry,B,33,36,8,8,7,0,Medium,91.84560724574946,77.78704436593205,16.6,Medium,19,7,Yes,64.76910206592501
CNSTU1154,Female,Physics,B,30,40,8,4,6,1,High,79.91868187861935,78.51686967958418,17.1,Medium,8,11,Yes,94.4201516013637
CNSTU1155,Female,Economics,C,22,40,8,5,4,3,Low,85.06910873568418,66.42778298368358,10,Low,12,22,No,88.09817089342634
CNSTU1156,Male,Chemistry,A,36,27,6,3,6,2,Low,86.9984289574085,97.38929413373708,28.1,High,20,15,Yes,71.11849654822277
CNSTU1157,Female,Chemistry,B,21,30,6,6,7,0,Medium,87.45827922595012,80.68599505094144,18.3,Medium,17,15,Yes,100.0
CNSTU1158,Male ,Physics,C,25,27,7,8,3,1,Medium,100.0,60.70435803356821,6.7,Low,13,21,No,87.81765486991594
CNSTU1159,Male,Mathematics,B,34,33,7,9,7,1,Low,94.461528485801,82.87864330360595,19.6,Medium,18,10,No,74.75168616491378
CNSTU1160,Male,Computer Science,C,31,36,8,9,5,3,High,81.10833634450374,63.30381995727214,8.2,Low,19,12,No,53.005942851264265
CNSTU1161,Female,Economics,A,39,40,8,3,5,4,Medium,91.97203822745604,84.44501524490943,20.5,High,14,5,Yes,100.0
CNSTU1162,Male,Mathematics,A,40,36,9,4,7,5+,High,93.98577398797428,88.90314694808885,23.1,High,11,14,No,64.10427533236404
CNSTU1163,Female,Computer Science,C,31,28,7,10,6,0,High,99.12119230817014,65.15181217977947,9.3,Low,16,29,Yes,61.546012530431085
CNSTU1164,Female,Biology,A,34,33,8,1,4,3,Low,100.0,86.56051355093186,21.7,High,15,23,No,88.2257043200964
CNSTU1165,Male,Computer Science,B,25,27,5,4,6,0,Medium,81.87924646537705,79.95337112323799,17.9,Medium,16,7,Yes,100.0
CNSTU1166,Male,Mathematics,A,29,34,7,6,7,1,Medium,83.51313991031729,84.86472191993388,20.8,High,16,8,No,91.84272818510519
CNSTU1167,Male,Chemistry,A,30,36,8,2,3,3,Low,79.93937712868308,97.76151579184737,28.3,High,15,15,Yes,83.6390912005236
CNSTU1168,Female,Biology,B,34,30,7,8,7,0,Medium,88.12784112714415,72.05534260796556,13.3,Medium,12,19,Yes,83.94754341665286
CNSTU1169,Male,Biology,C,30,40,7,9,5,5+,High,93.73086699557068,65.95516602771012,9.7,Low,13,5,No,86.53415558780307
CNSTU1170,Female,History,C,32,33,7,8,5,0,Low,97.89867613271281,64.32582684449372,8.8,Low,15,13,No,85.58928589786765
CNSTU1171,Female,English,C,25,29,5,4,7,1,Low,89.39239181085982,65.21027658041474,9.3,Low,12,15,Yes,80.81191423969376
CNSTU1172,Male,English,B,33,34,9,5,6,3,Medium,87.44121981396125,74.07477948703075,14.5,Medium,20,23,No,79.04201103951875
CNSTU1173,Female,History,B,34,29,8,3,4,2,Medium,91.21406393798992,79.09382369779972,17.4,Medium,9,17,Yes,77.37406872100478
CNSTU1174,Male ,Chemistry,B,33,33,6,6,6,0,Low,83.31885678695981,78.32028959196023,16.9,Medium,19,20,No,70.46035411133323
CNSTU1175,Male,Economics,A,28,34,8,8,7,1,High,100.0,84.92619898843229,20.8,High,17,8,No,75.19324923133226
CNSTU1176,Male,Biology,B,40,36,8,9,3,1,Medium,77.13871178305553,75.15602270253488,15.1,Medium,15,5,Yes,61.07043185804615
CNSTU1177,Female,Computer Science,A,36,28,8,9,7,3,High,91.47792463116579,92.4424089258878,25.2,High,17,24,No,77.0166037320525
CNSTU1178,Female,Physics,B,37,35,9,3,5,4,High,100.0,71.82411800114453,13.1,Medium,14,17,No,68.11408892849083
CNSTU1179,Male,History,A,33,34,8,4,5,5+,Low,90.05439875647998,100.0,34,High,15,5,Yes,66.96410682784229
CNSTU1180,Female,Computer Science,B,29,23,5,10,7,0,Medium,88.47968771998805,82.50800817318007,19.4,Medium,17,9,Yes,79.79894151153478
CNSTU1181,Female,Physics,C,32,30,9,1,6,3,Medium,87.14043661751658,64.7141093230046,9,Low,10,9,No,91.920022863446
CNSTU1182,Male,Chemistry,C,36,40,10,4,4,0,Low,88.55686654590073,62.14929002326665,7.5,Low,15,18,Yes,87.18316606002313
CNSTU1183,Female,Chemistry,B,33,26,7,6,6,1,Medium,100.0,80.78966898291823,18.4,Medium,9,27,No,62.29499396376823
CNSTU1184,Male ,Biology,B,29,40,7,2,7,3,High,72.30510470936395,72.31844657608978,13.4,Medium,16,18,No,68.10371863429663
CNSTU1185,Male,Economics,B,35,32,9,8,3,0,Low,100.0,83.5680059291051,20,Medium,9,12,Yes,87.40771187988216
CNSTU1186,Male,Mathematics,B,32,39,7,9,7,5+,Low,78.60834278039884,80.67885149488254,18.3,Medium,12,8,Yes,68.1751260646169
CNSTU1187,Female,Physics,B,34,32,9,8,5,0,Medium,87.86678136612468,74.12605304811753,14.5,Medium,12,11,Yes,75.75366850002976
CNSTU1188,Male,Physics,C,31,28,8,4,5,1,Medium,86.5660446376107,64.83847538317914,9.1,Low,23,24,Yes,83.50052099024552
CNSTU1189,Female,Mathematics,C,31,28,6,5,7,3,Low,94.70842615816576,56.82183330376962,4.4,Low,19,23,Yes,68.31655545136366
CNSTU1190,Female,Physics,C,34,33,7,3,6,2,High,77.21500518493002,69.64182057519575,11.9,Low,12,19,Yes,79.0537550614596
CNSTU1191,Male,Chemistry,A,36,35,8,6,4,0,Medium,93.69738132865554,85.27678553188167,21,High,12,26,No,64.65974505081796
CNSTU1192,Male,Physics,B,35,30,7,8,6,1,High,100.0,77.56912492956245,16.5,Medium,22,8,No,71.98632356048786
CNSTU1193,Male,Mathematics,C,37,33,7,9,7,1,High,79.09460796325752,60.051134655456146,6.3,Low,17,23,Yes,81.19781934142537
